name,price,volume24h,volume7d,volume30d,lastUpdated,marketCapByTotalSupply
Bitcoin,29858.94751,26321602951,1.68248E+11,7.98616E+11,2023-04-26T16:28:00.000Z,5.77977E+11
Ethereum,1954.257106,11516028432,78536400854,3.60675E+11,2023-04-26T16:28:00.000Z,2.35302E+11
Tether,1.000072017,34971472507,2.53705E+11,7.64557E+11,2023-04-26T16:28:00.000Z,85096766862
BNB,342.3607106,801468846.6,6174145420,19679496261,2023-04-26T16:28:00.000Z,53361557888
USD Coin,1.000064458,5790402783,36287202447,1.36544E+11,2023-04-26T16:28:00.000Z,30710585803
XRP,0.477536528,1245576468,8845944622,33115654871,2023-04-26T16:28:00.000Z,47748399406
Cardano,0.414575285,360675543.5,2569575733,7255934483,2023-04-26T16:28:00.000Z,14811880384
Dogecoin,0.082701566,464351443.1,3019475186,13593491074,2023-04-26T16:28:00.000Z,11503747842
Polygon,1.040733065,540479532.9,3534148661,12971081228,2023-04-26T16:28:00.000Z,10407330649
Solana,22.74257222,459833766.6,3071568401,13103557542,2023-04-26T16:28:00.000Z,12265358139
Polkadot,6.201363575,181579460.9,1328654651,4210480240,2023-04-26T16:28:00.000Z,8097625416
Litecoin,92.42721927,675127429.2,4414154119,18419809632,2023-04-26T16:28:00.000Z,7763886418
Binance USD,1.000072009,3349862567,23822701661,79508489474,2023-04-26T16:28:00.000Z,6345902279
Shiba Inu,1.06E-05,143758494,1078550800,3301526989,2023-04-26T16:28:00.000Z,6247519068
TRON,0.066834386,210560984.6,1327399036,5607267325,2023-04-26T16:28:00.000Z,6060060050
Avalanche,18.08207726,215281117.5,1685552929,5665029784,2023-04-26T16:28:00.000Z,7648941916
Dai,1.000165464,170233505.6,1180356063,3995355159,2023-04-26T16:28:00.000Z,4970350939
Wrapped Bitcoin,29793.90879,232300713,1714822742,4064587954,2023-04-26T16:28:00.000Z,4590093763
Chainlink,7.43969114,252476892.3,1756182893,5490376058,2023-04-26T16:28:00.000Z,7439691140
UNUS SED LEO,3.598953259,779333.8758,5849491.079,19357739.49,2023-04-26T16:28:00.000Z,3545830924
Cosmos,11.29931819,107004679.1,754519949.9,2287920713,2023-04-26T16:28:00.000Z,0
Uniswap,5.602694619,58105193.8,398149326,1400808919,2023-04-26T16:28:00.000Z,5602694619
Monero,161.7298132,70516123.56,498791737.5,1825336751,2023-04-26T16:28:00.000Z,2954951002
OKB,48.26602447,18782882.34,109687281.2,475648060.6,2023-04-26T16:28:00.000Z,14479807340
Ethereum Classic,20.20107827,128648275.1,812558672.1,3451938873,2023-04-26T16:28:00.000Z,4256367191
Toncoin,2.28564044,23790280.88,157478364.7,672832573.7,2023-04-26T16:28:00.000Z,11536903897
Stellar,0.096319561,48355466.44,340592298.3,1219884708,2023-04-26T16:28:00.000Z,4816150206
Internet Computer,5.689525327,39709906.42,269563707.1,917170556.2,2023-04-26T16:28:00.000Z,2834126436
Bitcoin Cash,122.8991858,111920122.8,841006547.2,3045189365,2023-04-26T16:28:00.000Z,2381216275
Filecoin,5.539273193,176902239,1163217407,4490935148,2023-04-26T16:28:00.000Z,2327149367
TrueUSD,0.999897943,2635156266,16893793898,56791638313,2023-04-26T16:28:00.000Z,2029446106
Aptos,10.74045147,219624128.5,1418080563,6719700146,2023-04-26T16:28:00.000Z,11077140742
Hedera,0.06322325,37705222.66,269124683.6,975544157.8,2023-04-26T16:28:00.000Z,3161162489
Lido DAO,2.191650049,54766392.26,393841696,1142813159,2023-04-26T16:28:00.000Z,2191650049
Arbitrum,1.480182885,942242833.8,6699662944,18365216511,2023-04-26T16:28:00.000Z,14801828847
Cronos,0.073681702,122865260.3,827970897.3,2814828508,2023-04-26T16:28:00.000Z,2229830368
NEAR Protocol,1.993688181,84589654.25,587811083,2125882554,2023-04-26T16:28:00.000Z,1993688181
VeChain,0.02327344,51142874.96,331296322.3,1464864513,2023-04-26T16:28:00.000Z,2001167677
ApeCoin,4.1029944,80028235.15,583782243.8,1995377548,2023-04-26T16:28:00.000Z,4102994400
Quant,114.2336167,22297637.49,153989753.5,665883583.9,2023-04-26T16:28:00.000Z,1699952062
Algorand,0.189747535,55922519.49,405009741.3,1343137974,2023-04-26T16:28:00.000Z,1410189160
